T,M
0,1.0
1,1.000000074074074
2,1.0000005925925926
3,1.000002
4,1.0000047407407406
5,1.0000092592592593
6,1.000016
7,1.0000254074074073
8,1.000037925925926
9,1.000054
10,1.0000740740740741
11,1.0000985925925925
12,1.000128
13,1.0001627407407407
14,1.0002032592592593
15,1.00025
16,1.0003034074074073
17,1.0003639259259258
18,1.000432
19,1.0005080740740742
20,1.0005925925925927
21,1.000686
22,1.0007887407407408
23,1.0009012592592592
24,1.001024
25,1.0011574074074074
26,1.001301925925926
27,1.001458
28,1.0016260740740741
29,1.0018065925925925
30,1.002
31,1.0022067407407407
32,1.0024272592592594
33,1.002662
34,1.0029114074074075
35,1.0031759259259259
36,1.003456
37,1.003752074074074
38,1.0040645925925926
39,1.004394
40,1.0047407407407407
41,1.0051052592592593
42,1.005488
43,1.0058894074074074
44,1.0063099259259258
45,1.00675
46,1.0072100740740741
47,1.0076905925925925
48,1.008192
49,1.0087147407407406
50,1.0092592592592593
51,1.009826
52,1.0104154074074074
53,1.0110279259259258
54,1.011664
55,1.012324074074074
56,1.0130085925925927
57,1.013718
58,1.0144527407407407
59,1.0152132592592593
60,1.016
61,1.0168134074074073
62,1.0176539259259259
63,1.018522
64,1.0194180740740741
65,1.0203425925925926
66,1.021296
67,1.0222787407407408
68,1.0232912592592593
69,1.024334
70,1.0254074074074073
71,1.0265119259259259
72,1.027648
73,1.0288160740740742
74,1.0300165925925926
75,1.03125
76,1.0325167407407407
77,1.0338172592592592
78,1.035152
79,1.0365214074074074
80,1.037925925925926
81,1.039366
82,1.040842074074074
83,1.0423545925925926
84,1.043904
85,1.0454907407407408
86,1.0471152592592592
87,1.048778
88,1.0504794074074073
89,1.052219925925926
90,1.054
91,1.0558200740740742
92,1.0576805925925925
93,1.059582
94,1.0615247407407407
95,1.0635092592592592
96,1.065536
97,1.0676054074074073
98,1.069717925925926
99,1.071874
100,1.074074074074074
101,1.0763185925925927
102,1.078608
103,1.0809427407407408
104,1.0833232592592592
105,1.08575
106,1.0882234074074073
107,1.090743925925926
108,1.093312
109,1.095928074074074
110,1.0985925925925926
111,1.101306
112,1.1040687407407408
113,1.1068812592592592
114,1.109744
115,1.1126574074074074
116,1.115621925925926
117,1.118638
118,1.121706074074074
119,1.1248265925925927
120,1.1280000000000001
121,1.1312267407407408
122,1.1345072592592593
123,1.137842
124,1.1412314074074075
125,1.144675925925926
126,1.1481759999999999
127,1.151732074074074
128,1.1553445925925927
129,1.159014
130,1.1627407407407409
131,1.1665252592592592
132,1.170368
133,1.1742694074074074
134,1.178229925925926
135,1.18225
136,1.186330074074074
137,1.1904705925925927
138,1.194672
139,1.1989347407407407
140,1.2032592592592593
141,1.207646
142,1.2120954074074075
143,1.216607925925926
144,1.221184
145,1.225824074074074
146,1.2305285925925926
147,1.235298
148,1.2401327407407408
149,1.2450332592592592
150,1.25
151,1.2550334074074074
152,1.2601339259259259
153,1.2653020000000001
154,1.2705380740740742
155,1.2758425925925927
156,1.2812160000000001
157,1.2866587407407408
158,1.2921712592592591
159,1.297754
160,1.3034074074074073
161,1.309131925925926
162,1.314928
163,1.320796074074074
164,1.3267365925925925
165,1.33275
166,1.3388367407407409
167,1.3449972592592592
168,1.351232
169,1.3575414074074075
170,1.3639259259259258
171,1.3703859999999999
172,1.3769220740740742
173,1.3835345925925926
174,1.390224
175,1.396990740740741
176,1.4038352592592593
177,1.410758
178,1.4177594074074076
179,1.424839925925926
180,1.432
181,1.4392400740740743
182,1.4465605925925926
183,1.453962
184,1.4614447407407407
185,1.4690092592592594
186,1.476656
187,1.4843854074074074
188,1.4921979259259261
189,1.500094
190,1.5080740740740741
191,1.5161385925925928
192,1.524288
193,1.5325227407407407
194,1.5408432592592591
195,1.54925
196,1.5577434074074072
197,1.5663239259259258
198,1.574992
199,1.583748074074074
200,1.5925925925925926
201,1.6015260000000002
202,1.6105487407407408
203,1.6196612592592592
204,1.628864
205,1.6381574074074075
206,1.6475419259259259
207,1.6570179999999999
208,1.666586074074074
209,1.6762465925925927
210,1.686
211,1.6958467407407407
212,1.7057872592592593
213,1.7158219999999997
214,1.7259514074074076
215,1.736175925925926
216,1.746496
217,1.7569120740740742
218,1.7674245925925927
219,1.778034
220,1.7887407407407405
221,1.7995452592592593
222,1.810448
223,1.8214494074074072
224,1.832549925925926
225,1.84375
226,1.8550500740740739
227,1.8664505925925927
228,1.877952
229,1.8895547407407407
230,1.9012592592592594
231,1.9130660000000002
232,1.9249754074074072
233,1.9369879259259257
234,1.9491040000000002
235,1.961324074074074
236,1.9736485925925924
237,1.986078
238,1.9986127407407408
239,2.0112532592592594
240,2.024
241,2.036853407407407
242,2.0498139259259256
243,2.062882
244,2.076058074074074
245,2.0893425925925926
246,2.1027359999999997
